ID,SKU,Name,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global,Attribute 11 name,Attribute 11 value(s),Attribute 11 visible,Attribute 11 global,Attribute 12 name,Attribute 12 value(s),Attribute 12 visible,Attribute 12 global,Attribute 13 name,Attribute 13 value(s),Attribute 13 visible,Attribute 13 global,Attribute 14 name,Attribute 14 value(s),Attribute 14 visible,Attribute 14 global,Attribute 15 name,Attribute 15 value(s),Attribute 15 visible,Attribute 15 global,Attribute 16 name,Attribute 16 value(s),Attribute 16 visible,Attribute 16 global,Attribute 17 name,Attribute 17 value(s),Attribute 17 visible,Attribute 17 global,Attribute 18 name,Attribute 18 value(s),Attribute 18 visible,Attribute 18 global,Attribute 19 name,Attribute 19 value(s),Attribute 19 visible,Attribute 19 global,Attribute 20 name,Attribute 20 value(s),Attribute 20 visible,Attribute 20 global
5220,CDM-D02896,Thomastik Dominant – La – Heavy – 4/4,Marque,Thomastik,1,1,Modèle,Dominant,1,1,Instrument,Violon,1,1,Corde,La,1,1,Taille,4/4,1,1,Tension,Heavy,1,1,Attache,,0,1,Âme,,0,1,Filage,,0,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,équilibré,1,1,Complexité,équilibré,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,intermédiaire,1,1,Durabilité,moyenne,1,1,Stabilité,bonne,1,1,Temps de rodage,moyen,1,1
5222,CDM-03AA95,Thomastik Dominant – La – Light – 4/4,Marque,Thomastik,1,1,Modèle,Dominant,1,1,Instrument,Violon,1,1,Corde,La,1,1,Taille,4/4,1,1,Tension,Light,1,1,Attache,,0,1,Âme,,0,1,Filage,,0,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,équilibré,1,1,Complexité,équilibré,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,intermédiaire,1,1,Durabilité,moyenne,1,1,Stabilité,bonne,1,1,Temps de rodage,moyen,1,1
5231,CDM-81A970,Thomastik Dominant – Re – Medium – argent – 4/4,Marque,Thomastik,1,1,Modèle,Dominant,1,1,Instrument,Violon,1,1,Corde,Ré,1,1,Taille,4/4,1,1,Tension,Medium,1,1,Attache,,0,1,Âme,,0,1,Filage,argent,1,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,équilibré,1,1,Complexité,équilibré,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,intermédiaire,1,1,Durabilité,moyenne,1,1,Stabilité,bonne,1,1,Temps de rodage,moyen,1,1
5233,CDM-7BB597,Thomastik Dominant – Re – Heavy – argent – 4/4,Marque,Thomastik,1,1,Modèle,Dominant,1,1,Instrument,Violon,1,1,Corde,Ré,1,1,Taille,4/4,1,1,Tension,Heavy,1,1,Attache,,0,1,Âme,,0,1,Filage,argent,1,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,équilibré,1,1,Complexité,équilibré,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,intermédiaire,1,1,Durabilité,moyenne,1,1,Stabilité,bonne,1,1,Temps de rodage,moyen,1,1
5235,CDM-B5A30C,Thomastik Dominant – Re – Light – argent – 4/4,Marque,Thomastik,1,1,Modèle,Dominant,1,1,Instrument,Violon,1,1,Corde,Ré,1,1,Taille,4/4,1,1,Tension,Light,1,1,Attache,,0,1,Âme,,0,1,Filage,argent,1,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,équilibré,1,1,Complexité,équilibré,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,intermédiaire,1,1,Durabilité,moyenne,1,1,Stabilité,bonne,1,1,Temps de rodage,moyen,1,1
5237,CDM-0FC4C2,Thomastik Dominant – Re – Heavy – 4/4,Marque,Thomastik,1,1,Modèle,Dominant,1,1,Instrument,Violon,1,1,Corde,Ré,1,1,Taille,4/4,1,1,Tension,Heavy,1,1,Attache,,0,1,Âme,,0,1,Filage,,0,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,équilibré,1,1,Complexité,équilibré,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,intermédiaire,1,1,Durabilité,moyenne,1,1,Stabilité,bonne,1,1,Temps de rodage,moyen,1,1
5239,CDM-94B46D,Thomastik Dominant – Re – Light – 4/4,Marque,Thomastik,1,1,Modèle,Dominant,1,1,Instrument,Violon,1,1,Corde,Ré,1,1,Taille,4/4,1,1,Tension,Light,1,1,Attache,,0,1,Âme,,0,1,Filage,,0,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,équilibré,1,1,Complexité,équilibré,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,intermédiaire,1,1,Durabilité,moyenne,1,1,Stabilité,bonne,1,1,Temps de rodage,moyen,1,1
5248,CDM-344FE5,Thomastik Dominant – Sol – Heavy – 4/4,Marque,Thomastik,1,1,Modèle,Dominant,1,1,Instrument,Violon,1,1,Corde,Sol,1,1,Taille,4/4,1,1,Tension,Heavy,1,1,Attache,,0,1,Âme,,0,1,Filage,,0,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,équilibré,1,1,Complexité,équilibré,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,intermédiaire,1,1,Durabilité,moyenne,1,1,Stabilité,bonne,1,1,Temps de rodage,moyen,1,1
5250,CDM-0F3C78,Thomastik Dominant – Sol – Light – 4/4,Marque,Thomastik,1,1,Modèle,Dominant,1,1,Instrument,Violon,1,1,Corde,Sol,1,1,Taille,4/4,1,1,Tension,Light,1,1,Attache,,0,1,Âme,,0,1,Filage,,0,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,équilibré,1,1,Complexité,équilibré,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,intermédiaire,1,1,Durabilité,moyenne,1,1,Stabilité,bonne,1,1,Temps de rodage,moyen,1,1
5252,CDM-B398DC,Thomastik Dominant Pro – - – Mi – or – 4/4,Marque,Thomastik,1,1,Modèle,Dominant Pro,1,1,Instrument,Violon,1,1,Corde,Mi,1,1,Taille,4/4,1,1,Tension,,0,1,Attache,,0,1,Âme,acier,1,1,Filage,or,1,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,brillant,1,1,Complexité,équilibré,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,soliste,1,1,Positionnement,premium,1,1,Durabilité,moyenne,1,1,Stabilité,bonne,1,1,Temps de rodage,moyen,1,1
