statut,raison,set_id,set_sku,set_titre,set_prix,set_stock,instrument,modele_reconstitue,cordes,candidat_id,candidat_sku,candidat_titre,candidat_prix,candidat_stock,ecart_prix,action_recommandee
doublon_probable,"Jeu reconstitué depuis des cordes seules du même modèle avec jeu Woo non-SET correspondant.",7726,CDM-SET-VLA-01,"Étudiant fiable — Dominant complet",131.65,3.000000,alto,dominant,"La:CDM-4DE182 Thomastik Dominant – La – Heavy | Ré:CDM-82FD57 Thomastik Dominant – Re – plata – Medium | Sol:CDM-5B4BF5 Thomastik Dominant – Sol – Heavy | Do:CDM-5D2227 Thomastik Dominant – Do – Heavy",5708,CDM-9CEBFF,"Thomastik Dominant – Medium",126.55,4.000000,5.10,"Masquer/dépublier le CDM-SET reconstitué et reporter ses attributs éditoriaux sur le candidat."
doublon_probable,"Jeu reconstitué depuis des cordes seules du même modèle avec jeu Woo non-SET correspondant.",7726,CDM-SET-VLA-01,"Étudiant fiable — Dominant complet",131.65,3.000000,alto,dominant,"La:CDM-4DE182 Thomastik Dominant – La – Heavy | Ré:CDM-82FD57 Thomastik Dominant – Re – plata – Medium | Sol:CDM-5B4BF5 Thomastik Dominant – Sol – Heavy | Do:CDM-5D2227 Thomastik Dominant – Do – Heavy",5703,CDM-CB7482,"Thomastik Dominant – Medium",125.7,0.000000,5.95,"Masquer/dépublier le CDM-SET reconstitué et reporter ses attributs éditoriaux sur le candidat."
doublon_probable,"Jeu reconstitué depuis des cordes seules du même modèle avec jeu Woo non-SET correspondant.",7726,CDM-SET-VLA-01,"Étudiant fiable — Dominant complet",131.65,3.000000,alto,dominant,"La:CDM-4DE182 Thomastik Dominant – La – Heavy | Ré:CDM-82FD57 Thomastik Dominant – Re – plata – Medium | Sol:CDM-5B4BF5 Thomastik Dominant – Sol – Heavy | Do:CDM-5D2227 Thomastik Dominant – Do – Heavy",5705,CDM-EDB7CD,"Thomastik Dominant – Medium",126.25,0.000000,5.40,"Masquer/dépublier le CDM-SET reconstitué et reporter ses attributs éditoriaux sur le candidat."
doublon_probable,"Jeu reconstitué depuis des cordes seules du même modèle avec jeu Woo non-SET correspondant.",7727,CDM-SET-VLA-03,"Étudiant clair — Chromcor complet",49.40,5.000000,alto,chromcor,"La:CDM-B4C378 Pirastro Chromcor – La – Boule amovible – Medium | Ré:CDM-616AB4 Pirastro Chromcor – Ré – Medium | Sol:CDM-A9F5D4 Pirastro Chromcor – Sol – Medium | Do:CDM-019A5D Pirastro Chromcor – Do – Medium",5684,CDM-CDCA0E,"Pirastro Chromcor – Medium",49.41,6.000000,-0.01,"Masquer/dépublier le CDM-SET reconstitué et reporter ses attributs éditoriaux sur le candidat."
a_controler,"Jeu reconstitué depuis des cordes seules du même modèle, sans jeu non-SET trouvé automatiquement.",7728,CDM-SET-VLA-04,"Équilibre classique — Jargar Classic complet",81.11,4.000000,alto,classic,"La:CDM-C8E675 Jargar Classic – La – Medium | Ré:CDM-16706B Jargar Classic – Ré – Medium | Sol:CDM-372ECA Jargar Classic – Sol – Medium | Do:CDM-694CD2 Jargar Classic – Do – Medium",,,,,,,"Vérifier manuellement si un jeu fabricant existe avec un titre atypique ou une variante à préciser."
doublon_probable,"Jeu reconstitué depuis des cordes seules du même modèle avec jeu Woo non-SET correspondant.",7729,CDM-SET-VLA-05,"Équilibre plus tenu — Jargar Superior complet",167.30,1.000000,alto,superior,"La:CDM-40DD40 Jargar Superior – La – Medium | Ré:CDM-4AE713 Jargar Superior – Ré – Medium | Sol:CDM-6C72B0 Jargar Superior – Sol – Medium | Do:CDM-347628 Jargar Superior – Do – Medium",5673,CDM-11BA37,"Jargar Superior – Medium",167.3,5.000000,0.00,"Masquer/dépublier le CDM-SET reconstitué et reporter ses attributs éditoriaux sur le candidat."
doublon_probable,"Jeu reconstitué depuis des cordes seules du même modèle avec jeu Woo non-SET correspondant.",7730,CDM-SET-VLA-06,"Chaud sûr — Obligato complet",173.17,7.000000,alto,obligato,"La:CDM-A04093 Pirastro Obligato – La – Boule amovible – Medium | Ré:CDM-D1536C Pirastro Obligato – Ré – Medium | Sol:CDM-6CFB38 Pirastro Obligato – Sol – Medium | Do:CDM-31ECF6 Pirastro Obligato – Do – Medium",5694,CDM-906304,"Pirastro Obligato",173.18,10.000000,-0.01,"Masquer/dépublier le CDM-SET reconstitué et reporter ses attributs éditoriaux sur le candidat."
doublon_probable,"Jeu reconstitué depuis des cordes seules du même modèle avec jeu Woo non-SET correspondant.",7731,CDM-SET-VLA-07,"Chaud puissant — Evah Pirazzi Gold complet",189.10,11.000000,alto,"evah pirazzi gold","La:CDM-D17C6D Pirastro Evah Pirazzi Gold – La | Ré:CDM-FB8345 Pirastro Evah Pirazzi Gold – Ré | Sol:CDM-EBFABA Pirastro Evah Pirazzi Gold – Sol | Do:CDM-4F402B Pirastro Evah Pirazzi Gold – Do – tungstène",5690,CDM-14BFFF,"Pirastro Evah Pirazzi Gold",183.64,26.000000,5.46,"Masquer/dépublier le CDM-SET reconstitué et reporter ses attributs éditoriaux sur le candidat."
doublon_probable,"Jeu reconstitué depuis des cordes seules du même modèle avec jeu Woo non-SET correspondant.",7731,CDM-SET-VLA-07,"Chaud puissant — Evah Pirazzi Gold complet",189.10,11.000000,alto,"evah pirazzi gold","La:CDM-D17C6D Pirastro Evah Pirazzi Gold – La | Ré:CDM-FB8345 Pirastro Evah Pirazzi Gold – Ré | Sol:CDM-EBFABA Pirastro Evah Pirazzi Gold – Sol | Do:CDM-4F402B Pirastro Evah Pirazzi Gold – Do – tungstène",5692,CDM-6F6A0F,"Pirastro Evah Pirazzi Gold",189.09,1.000000,0.01,"Masquer/dépublier le CDM-SET reconstitué et reporter ses attributs éditoriaux sur le candidat."
variante_possible,"Jeu reconstitué depuis des cordes seules du même modèle, rapproché d’une variante non-SET à préciser.",7732,CDM-SET-VLA-08,"Brillant puissant — Evah Pirazzi complet",169.79,15.000000,alto,"evah pirazzi","La:CDM-1FA903 Pirastro Evah Pirazzi – La – Medium | Ré:CDM-31998A Pirastro Evah Pirazzi – Ré – Medium | Sol:CDM-505772 Pirastro Evah Pirazzi – Sol – Medium | Do:CDM-5DA3BA Pirastro Evah Pirazzi – Do – Medium",5690,CDM-14BFFF,"Pirastro Evah Pirazzi Gold",183.64,26.000000,-13.85,"Comparer les matériaux/tension/attache avant action ; préciser le titre et la description si variante réelle."
